# s,dist_s
-6.000000000000000000e+00,6.577042034909227376e-04
-5.906250000000000000e+00,7.883947537070388253e-04
-5.812500000000000000e+00,9.423608978433274056e-04
-5.718750000000000000e+00,1.123184786708776844e-03
-5.625000000000000000e+00,1.334890342280235440e-03
-5.531250000000000000e+00,1.581977830637106876e-03
-5.437500000000000000e+00,1.869457596113817746e-03
-5.343750000000000000e+00,2.202882170250422458e-03
-5.250000000000000000e+00,2.588375857776494329e-03
-5.156250000000000000e+00,3.032660792200127069e-03
-5.062500000000000000e+00,3.543078348954062980e-03
-4.968750000000000000e+00,4.127604708289276184e-03
-4.875000000000000000e+00,4.794859277423491571e-03
-4.781250000000000000e+00,5.554104616401614458e-03
-4.687500000000000000e+00,6.415236469498010290e-03
-4.593750000000000000e+00,7.388762488693728821e-03
-4.500000000000000000e+00,8.485768252669830675e-03
-4.406250000000000000e+00,9.717869238546783528e-03
-4.312500000000000000e+00,1.109714749855378844e-02
-4.218750000000000000e+00,1.263607193362204124e-02
-4.125000000000000000e+00,1.434740124344337751e-02
-4.031250000000000000e+00,1.624406886967387845e-02
-3.937500000000000000e+00,1.833904953630628720e-02
-3.843750000000000000e+00,2.064520732796101474e-02
-3.750000000000000000e+00,2.317512563051971411e-02
-3.656250000000000000e+00,2.594091968496282929e-02
-3.562500000000000000e+00,2.895403296844202209e-02
-3.468750000000000000e+00,3.222501910860971208e-02
-3.375000000000000000e+00,3.576331154825986708e-02
-3.281250000000000000e+00,3.957698369586844928e-02
-3.187500000000000000e+00,4.367250281050981398e-02
-3.093750000000000000e+00,4.805448136237492479e-02
-3.000000000000000000e+00,5.272543006719623837e-02
-2.906250000000000000e+00,5.768551719813740791e-02
-2.812500000000000000e+00,6.293233911579981799e-02
-2.718750000000000000e+00,6.846070720995216241e-02
-2.625000000000000000e+00,7.426245660033013729e-02
-2.531250000000000000e+00,8.032628198479539738e-02
-2.437500000000000000e+00,8.663760593978223068e-02
-2.343750000000000000e+00,9.317848476143210379e-02
-2.250000000000000000e+00,9.992755658042806743e-02
-2.156250000000000000e+00,1.068600359872254463e-01
-2.062500000000000000e+00,1.139477587690594373e-01
-1.968750000000000000e+00,1.211592795919767818e-01
-1.875000000000000000e+00,1.284600245707386013e-01
-1.781250000000000000e+00,1.358124996716991439e-01
-1.687500000000000000e+00,1.431765548077751360e-01
-1.593750000000000000e+00,1.505097023333401007e-01
-1.500000000000000000e+00,1.577674874566218632e-01
-1.406250000000000000e+00,1.649039068869851132e-01
-1.312500000000000000e+00,1.718718708553302610e-01
-1.218750000000000000e+00,1.786237025197817685e-01
-1.125000000000000000e+00,1.851116677280105205e-01
-1.031250000000000000e+00,1.912885271831455958e-01
-9.375000000000000000e-01,1.971081022815086292e-01
-8.437500000000000000e-01,2.025258452835960732e-01
-7.500000000000000000e-01,2.074994040671311879e-01
-6.562500000000000000e-01,2.119891715100930552e-01
-5.625000000000000000e-01,2.159588095743655012e-01
-4.687500000000000000e-01,2.193757384128997290e-01
-3.750000000000000000e-01,2.222115813044811816e-01
-2.812500000000000000e-01,2.244425569231611461e-01
-1.875000000000000000e-01,2.260498113604653692e-01
-9.375000000000000000e-02,2.270196834177150291e-01
0.000000000000000000e+00,2.273438979475772004e-01
9.375000000000000000e-02,2.270196834177150291e-01
1.875000000000000000e-01,2.260498113604653692e-01
2.812500000000000000e-01,2.244425569231611461e-01
3.750000000000000000e-01,2.222115813044811816e-01
4.687500000000000000e-01,2.193757384128997290e-01
5.625000000000000000e-01,2.159588095743655012e-01
6.562500000000000000e-01,2.119891715100930552e-01
7.500000000000000000e-01,2.074994040671311879e-01
8.437500000000000000e-01,2.025258452835960732e-01
9.375000000000000000e-01,1.971081022815086292e-01
1.031250000000000000e+00,1.912885271831455958e-01
1.125000000000000000e+00,1.851116677280105205e-01
1.218750000000000000e+00,1.786237025197817685e-01
1.312500000000000000e+00,1.718718708553302610e-01
1.406250000000000000e+00,1.649039068869851132e-01
1.500000000000000000e+00,1.577674874566218632e-01
1.593750000000000000e+00,1.505097023333401007e-01
1.687500000000000000e+00,1.431765548077751360e-01
1.781250000000000000e+00,1.358124996716991439e-01
1.875000000000000000e+00,1.284600245707386013e-01
1.968750000000000000e+00,1.211592795919767818e-01
2.062500000000000000e+00,1.139477587690594373e-01
2.156250000000000000e+00,1.068600359872254463e-01
2.250000000000000000e+00,9.992755658042806743e-02
2.343750000000000000e+00,9.317848476143210379e-02
2.437500000000000000e+00,8.663760593978223068e-02
2.531250000000000000e+00,8.032628198479539738e-02
2.625000000000000000e+00,7.426245660033013729e-02
2.718750000000000000e+00,6.846070720995216241e-02
2.812500000000000000e+00,6.293233911579981799e-02
2.906250000000000000e+00,5.768551719813740791e-02
3.000000000000000000e+00,5.272543006719623837e-02
3.093750000000000000e+00,4.805448136237492479e-02
3.187500000000000000e+00,4.367250281050981398e-02
3.281250000000000000e+00,3.957698369586844928e-02
3.375000000000000000e+00,3.576331154825986708e-02
3.468750000000000000e+00,3.222501910860971208e-02
3.562500000000000000e+00,2.895403296844202209e-02
3.656250000000000000e+00,2.594091968496282929e-02
3.750000000000000000e+00,2.317512563051971411e-02
3.843750000000000000e+00,2.064520732796101474e-02
3.937500000000000000e+00,1.833904953630628720e-02
4.031250000000000000e+00,1.624406886967387845e-02
4.125000000000000000e+00,1.434740124344337751e-02
4.218750000000000000e+00,1.263607193362204124e-02
4.312500000000000000e+00,1.109714749855378844e-02
4.406250000000000000e+00,9.717869238546783528e-03
4.500000000000000000e+00,8.485768252669830675e-03
4.593750000000000000e+00,7.388762488693728821e-03
4.687500000000000000e+00,6.415236469498010290e-03
4.781250000000000000e+00,5.554104616401614458e-03
4.875000000000000000e+00,4.794859277423491571e-03
4.968750000000000000e+00,4.127604708289276184e-03
5.062500000000000000e+00,3.543078348954062980e-03
5.156250000000000000e+00,3.032660792200127069e-03
5.250000000000000000e+00,2.588375857776494329e-03
5.343750000000000000e+00,2.202882170250422458e-03
5.437500000000000000e+00,1.869457596113817746e-03
5.531250000000000000e+00,1.581977830637106876e-03
5.625000000000000000e+00,1.334890342280235440e-03
5.718750000000000000e+00,1.123184786708776844e-03
5.812500000000000000e+00,9.423608978433274056e-04
5.906250000000000000e+00,7.883947537070388253e-04
6.000000000000000000e+00,6.577042034909227376e-04
